Format,ParseEngineUsed,Example URL
1,1,https://portal.onehome.com/en-US/property/aotf~1021171780~NOMAR?token=eyJPU04iOiJOT01BUiIsInR5cGUiOiIxIiwiY29udGFjdGlkIjo3NDg3NjksInNldGlkIjoiMzkzMTkzIiwic2V0a2V5IjoiMjczIiwiZW1haWwiOiJqYWtlYXR3b3JrZW1haWxAZ21haWwuY29tIiwicmVzb3VyY2VpZCI6MCwiYWdlbnRpZCI6MjUyMTMsImlzZGVsdGEiOmZhbHNlLCJWaWV3TW9kZSI6IjEifQ%3D%3D&searchId=f6006931-740f-3f56-99c2-a9c8230e7d41
2,2,https://matrix.brightmls.com/DAE.asp?ID=0-2996236778-10&eml=bmlzc2FqYWtlQGdtYWlsLmNvbQ==&rk=1357606408
13,2,https://matrix.brightmls.com/DAE.asp?ID=0-4160670010-10&eml=amFrZUBqc3F1YXJlZDJsbGMuY29t&rk=1346975474
14,2,https://matrix.brightmls.com/DAE.asp?ID=0-4160721227-10&eml=amFrZUBqc3F1YXJlZDJsbGMuY29t&rk=1380071102
3,3,
4,3,https://portal.onehome.com/en-US/property/aotf~1019165977~NYS?token=eyJPU04iOiJOWVMiLCJ0eXBlIjoiMSIsImNvbnRhY3RpZCI6MTYyNjU0NSwic2V0aWQiOiI1OTc1NTMiLCJzZXRrZXkiOiI3OTEiLCJlbWFpbCI6ImJyYWxAbmlzc2FqYWtlLmNvbSIsInJlc291cmNlaWQiOjAsImFnZW50aWQiOjE2MjgxLCJpc2RlbHRhIjpmYWxzZSwiVmlld01vZGUiOiIxIn0%3D&searchId=497cd644-d943-3faa-a3cc-d33a90192da7
5,3,https://portal.onehome.com/en-US/property/aotf~1022545408~NYS?token=eyJPU04iOiJOWVMiLCJ0eXBlIjoiMSIsImNvbnRhY3RpZCI6MTY2NTQ0NCwic2V0aWQiOiI2NjQ4MDkiLCJzZXRrZXkiOiIxNjIiLCJlbWFpbCI6ImJyYWxAbmlzc2FqYWtlLmNvbSIsInJlc291cmNlaWQiOjAsImFnZW50aWQiOjIwNTg2LCJpc2RlbHRhIjpmYWxzZSwiVmlld01vZGUiOiIxIn0%3D&searchId=b75bface-076a-3c88-8c4f-49a4ad4398f4
6,6,https://portal.onehome.com/en-US/listing?token=eyJPU04iOiJGTUxTIiwidHlwZSI6IjEiLCJjb250YWN0aWQiOjM0Mjk2MDAsInNldGlkIjoiMjQ3NjI0MSIsInNldGtleSI6IjY2MiIsImVtYWlsIjoiamFrZWF0d29ya2VtYWlsQGdtYWlsLmNvbSIsInJlc291cmNlaWQiOjAsImFnZW50aWQiOjgxOTU3LCJpc2RlbHRhIjpmYWxzZSwibGlzdGluZ2lkIjoiMjY5MTc3NTIwIiwiVmlld01vZGUiOiIxIn0=&SMS=0
7,7,https://resanfrancisco.rapmls.com/scripts/mgrqispi.dll?APPNAME=REsanfrancisco&PRGNAME=MLSLogin&ARGUMENT=hBgsIMRP+yPlxRRSP8peaLFENPgFydCOA+2xw90X1KGIaDmUGEJejXo69HWYP1Wb&KeyRid=1&ClientPortalAgentNumber=1075241
8,8,https://www.redfin.com/NY/Rochester/56-Curlew-St-14606/home/72539712?utm_source=myredfin&utm_medium=email&utm_campaign=recommendations_update&riftinfo=ZXY9ZW1haWwmbD0zMDg1ODc5NSZwPWxpc3RpbmdfdXBkYXRlc19yZWNvbW1lbmRhdGlvbnMmYT1jbGljayZzPXJlY29tbWVuZGF0aW9ucyZ0PWFkZHJlc3MmZW1haWxfaWQ9MzA4NTg3OTVfMTY2NDk4NjY3OV82JnVwZGF0ZV90eXBlPTEmbGlscl9zY29yZT0wLjQzNzk5OTk5MzU2MjY5ODM2Jmxpc3RpbmdfaWQ9MTU5MjY1ODMxJnByb3BlcnR5X2lkPTcyNTM5NzEyJnBvc2l0aW9uX251bWJlcj0w
9,9,https://homeland.my.salesforce.com/sfc/p/1I000003o0lm/a/8W000001vTrw/wTFhAVUQ4eRMe2kzQpW1Y80ztf6l8Muis3CIh9wYELA
10,10,      
